Name,ProductCode,Description,Family,SBQQ__PricingMethod__c,SBQQ__ChargeType__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__SubscriptionTerm__c,SBQQ__SubscriptionType__c,SBQQ__ProductPictureID__c,SBQQ__ConfigurationEvent__c,SBQQ__ConfigurationType__c,IsActive,SBQQ__Component__c,SBQQ__NonDiscountable__c,SBQQ__NonPartnerDiscountable__c,SBQQ__PricingMethodEditable__c,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BlockPricingField__c,SBQQ__CompoundDiscountRate__c,SBQQ__ConfiguredCodePattern__c,SBQQ__ConfiguredDescriptionPattern__c,SBQQ__CostEditable__c,SBQQ__CustomerCommunityAvailability__c,SBQQ__DefaultPricingTable__c,SBQQ__DefaultQuantity__c,SBQQ__DescriptionLocked__c,SBQQ__DynamicPricingConstraint__c,SBQQ__EnableLargeConfiguration__c,SBQQ__ExcludeFromMaintenance__c,SBQQ__ExcludeFromOpportunity__c,SBQQ__ExternallyConfigurable__c,SBQQ__GenerateContractedPrice__c,SBQQ__Hidden__c,SBQQ__HidePriceInSearchResults__c,SBQQ__IncludeInMaintenance__c,SBQQ__NewQuoteGroup__c,SBQQ__OptionLayout__c,SBQQ__OptionSelectionMethod__c,SBQQ__Optional__c,SBQQ__PriceEditable__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,SBQQ__ReconfigurationDisabled__c,SBQQ__SortOrder__c,SBQQ__Specifications__c,SBQQ__SubscriptionBase__c,SBQQ__SubscriptionCategory__c,SBQQ__SubscriptionPercent__c,SBQQ__SubscriptionPricing__c,SBQQ__TaxCode__c,SBQQ__Taxable__c,SBQQ__TermDiscountLevel__c,SBQQ__UpgradeRatio__c,blng__BillingRule__r.Name,blng__RevenueRecognitionRule__r.Name,blng__TaxRule__r.Name,SBQQ__CostSchedule__r.Name,SBQQ__PricingGuidance__r.Name,SBQQ__RenewalProduct__r.Name,SBQQ__SubscriptionTarget__r.Name,SBQQ__DiscountSchedule__r.Name,SBQQ__TermDiscountSchedule__r.Name,SBQQ__UpgradeCredit__r.Name,SBQQ__UpgradeSource__r.Name,SBQQ__UpgradeTarget__r.Name
Anomaly Detection,SB-AO-ANOM-DET,A streaming and reporting command that identifies anomalous events by computing a probability for each event and then detecting unusually small probabilities,Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Application Monitoring,SB-APP-MON,"Nothing improves the customer experience like good application performance. With SmartBytes application monitoring solutions, you can monitor and measure the key areas that impact customer experience (CX)",Software,List,Recurring,Annual,Advance,12,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Clustering,SB-AO-CLUSTER,"This add-on will allow consolidation of multiple SmartBytes instances, or nodes, that, working in concert, provide a redundant indexing and searching capability",Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Custom SKU,SB-ADHOC,Ad Hoc,,List,One-Time,,,,,,,,true,false,true,false,false,Default,,,Quantity,,,,true,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,true,true,,false,,,List,,,,,false,,,Invoice - Standard,Order Based - 100% Upfront,Standard Tax,,,,,,,,,
Data Navigator,SB-ITA-DAT-NAV,Access the status of all data across your environment as a starting point for more proactive monitoring and deeper exploration,Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Data Protector,SB-DAT-PROT,Enable true data protection for your SmartBytes instance and provides a fully-featured data protection solution,Software,List,Recurring,Annual,Advance,12,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Developer Environment,SB-AO-DEV-ENV,Instance of SmartBytes Platform intended for testing and deployment of application updates,Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Disaster Recovery,SB-AO-DIS-REC,SmartBytes Disaster Recovery Software is designed to provide business continuity and recovery following natural or man-made disasters and outages,Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Distributed Search,SB-AO-DIS-SEA,Distributed search provides a way to scale your deployment by separating the search management and presentation layer from the indexing and search retrieval layer,Software,List,Recurring,Monthly,Advance,1,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
Enterprise Security Manager (ESM),SB-SEC-ESM,"SmartBytes ESM includes threat intelligence feeds, correlation, analytics, profiling, security alerts, data presentation and compliance",Software,List,Recurring,Annual,Advance,12,Renewable,,,,true,false,false,false,false,Default,,,Quantity,,,,false,,,1,false,,false,false,false,false,,false,false,true,false,,Click,false,false,true,,false,,,List,,,Fixed Price,,false,,,Invoice - Subscription,Order Based - 100% Rateable,Standard Tax,,,,,,,,,
